"","Condition","Serotype","Source","Day","Strain","Replicate","Minus","Plus","Log_RD"
"65","BHI","4b","Environment",15,"FSL N1-0061",4,9.16,7.67,1.49
"66","BHI","4b","Salmon",15,"FSL F2-0310",4,9.12,8.36,0.76
"67","BHI","1/2a","Environment",30,"FSL L4-0396",4,9.12,8.95,0.17
"68","BHI","1/2a","Salmon",30,"FSL F2-0237",4,9.09,8.37,0.720000000000001
"69","BHI","1/2b","Environment",30,"FSL L4-0060",4,9.2,8.42,0.779999999999999
"70","BHI","1/2b","Salmon",30,"FSL L3-0051",4,9.16,8.07,1.09
"71","BHI","4b","Environment",30,"FSL N1-0061",4,8.99,8.75,0.24
"72","BHI","4b","Salmon",30,"FSL F2-0310",4,9.23,8.73,0.5
"73","NaCl","1/2a","Environment",1,"FSL L4-0396",1,6.43,3.78,2.65
"74","NaCl","1/2a","Salmon",1,"FSL F2-0237",1,6.36,3.95,2.41
"75","NaCl","1/2b","Environment",1,"FSL L4-0060",1,6.23,4.58,1.65
"76","NaCl","1/2b","Salmon",1,"FSL L3-0051",1,6.39,2.44,3.95
"77","NaCl","4b","Environment",1,"FSL N1-0061",1,6.44,5.38,1.06
"78","NaCl","4b","Salmon",1,"FSL F2-0310",1,6.22,4.67,1.55
"79","NaCl","1/2a","Environment",15,"FSL L4-0396",1,8.89,7.36,1.53
"80","NaCl","1/2a","Salmon",15,"FSL F2-0237",1,8.73,5.89,2.84
"81","NaCl","1/2b","Environment",15,"FSL L4-0060",1,9.13,7.94,1.19
"82","NaCl","1/2b","Salmon",15,"FSL L3-0051",1,9.13,4.88,4.25
"83","NaCl","4b","Environment",15,"FSL N1-0061",1,8.97,7.13,1.84
"84","NaCl","4b","Salmon",15,"FSL F2-0310",1,8.74,7.41,1.33
"85","NaCl","1/2a","Environment",30,"FSL L4-0396",1,9.08,8.27,0.81
"86","NaCl","1/2a","Salmon",30,"FSL F2-0237",1,8.86,8.23,0.629999999999999
"87","NaCl","1/2b","Environment",30,"FSL L4-0060",1,8.99,8.48,0.51
"88","NaCl","1/2b","Salmon",30,"FSL L3-0051",1,9.09,7.58,1.51
"89","NaCl","4b","Environment",30,"FSL N1-0061",1,9.26,8.5,0.76
"90","NaCl","4b","Salmon",30,"FSL F2-0310",1,9.18,7.37,1.81
"91","NaCl","1/2a","Environment",1,"FSL L4-0396",2,6.69,4.61,2.08
"92","NaCl","1/2a","Salmon",1,"FSL F2-0237",2,6.46,4.31,2.15
"93","NaCl","1/2b","Environment",1,"FSL L4-0060",2,6.75,5.32,1.43
"94","NaCl","1/2b","Salmon",1,"FSL L3-0051",2,6.34,4.05,2.29
"95","NaCl","4b","Environment",1,"FSL N1-0061",2,6.64,5.07,1.57
"96","NaCl","4b","Salmon",1,"FSL F2-0310",2,6.54,5.45,1.09
"97","NaCl","1/2a","Environment",15,"FSL L4-0396",2,9.02,7.19,1.83
"98","NaCl","1/2a","Salmon",15,"FSL F2-0237",2,8.94,7.58,1.36
"99","NaCl","1/2b","Environment",15,"FSL L4-0060",2,9.37,8.29,1.08
"100","NaCl","1/2b","Salmon",15,"FSL L3-0051",2,9.26,5.71,3.55
"101","NaCl","4b","Environment",15,"FSL N1-0061",2,9.26,6.86,2.4
"102","NaCl","4b","Salmon",15,"FSL F2-0310",2,9.1,6.72,2.38
"103","NaCl","1/2a","Environment",30,"FSL L4-0396",2,9.28,8.26,1.02
"104","NaCl","1/2a","Salmon",30,"FSL F2-0237",2,9.32,8.59,0.73
"105","NaCl","1/2b","Environment",30,"FSL L4-0060",2,9.32,8.66,0.66
"106","NaCl","1/2b","Salmon",30,"FSL L3-0051",2,9.36,8.51,0.85
"107","NaCl","4b","Environment",30,"FSL N1-0061",2,9.26,8.34,0.92
